symbol,conf.,open,high,low,close,ltp,close - ltp,close - ltp %,vwap,vol,prev. close,turnover,trans.,diff,range,diff %,range %,vwap %,120 days,180 days,52 weeks high,52 weeks low,source_file,tradedate
SBL,25.67,372.0,377.9,367.8,372.25,374.0,-1.75,0.0,371.0,132615.0,375.01,49199950.4,208,-2.76,10.1,-0.74,2.75,0.34,321.99,312.69,408.0,261.0,09_10_2025.csv,2025-09-10
SCB,24.43,630.1,640.0,630.0,631.7,632.9,-1.2,0.0,632.06,12381.0,642.44,7825523.9,130,-10.74,10.0,-1.67,1.59,-0.06,631.37,644.32,779.2,597.1,09_10_2025.csv,2025-09-10
SCBD,27.16,1130.0,1130.0,1130.0,1130.0,1130.0,0.0,0.0,1130.0,112.0,1150.0,126560.0,2,-20.0,0.0,-1.74,0.0,0.0,1106.35,0.0,1193.4,1060.9,09_10_2025.csv,2025-09-10
SDBD87,33.48,1080.0,1080.0,1080.0,1080.0,1080.0,0.0,0.0,1080.0,25.0,1070.0,27000.0,1,10.0,0.0,0.93,0.0,0.0,1070.38,1047.75,1120.0,1002.0,09_10_2025.csv,2025-09-10
SEF,29.71,9.55,9.55,9.19,9.3,9.3,0.0,0.0,9.29,2601.0,9.4,24172.5,9,-0.1,0.36,-1.06,3.92,0.07,10.06,9.93,11.5,8.72,09_10_2025.csv,2025-09-10
SFCL,30.31,433.0,436.1,425.0,431.33,430.0,1.33,0.0,431.62,7997.0,433.91,3451678.4,90,-2.58,11.1,-0.59,2.61,-0.07,495.36,536.42,1117.9,416.4,09_10_2025.csv,2025-09-10
SFEF,32.81,9.1,9.23,9.05,9.23,9.23,0.0,0.0,9.17,3400.0,9.28,31168.0,8,-0.05,0.18,-0.54,1.99,0.68,9.64,9.53,11.12,8.53,09_10_2025.csv,2025-09-10
SFMF,31.53,9.59,9.6,9.59,9.59,9.59,0.0,0.0,9.59,16600.0,9.75,159204.0,5,-0.16,0.01,-1.64,0.1,-0.01,10.42,10.35,11.74,9.22,09_10_2025.csv,2025-09-10
SGHC,27.42,335.1,353.4,335.0,336.26,335.0,1.26,0.0,338.88,5996.0,339.97,2031949.0,77,-3.71,18.4,-1.09,5.49,-0.78,440.99,474.26,649.5,335.0,09_10_2025.csv,2025-09-10
SGIC,26.91,540.0,550.2,539.5,546.4,545.0,1.4,0.0,544.22,14578.0,550.06,7933602.5,162,-3.66,10.7,-0.67,1.98,0.4,575.02,612.06,817.1,525.0,09_10_2025.csv,2025-09-10
SHEL,32.82,303.2,308.0,301.1,302.1,302.5,-0.4,0.0,303.52,255340.0,304.67,77501558.0,758,-2.57,6.9,-0.84,2.29,-0.47,283.41,273.18,347.8,222.1,09_10_2025.csv,2025-09-10
SHINE,31.02,417.1,422.0,412.0,414.79,417.0,-2.21,-0.01,414.78,28729.0,419.1,11916276.8,161,-4.31,10.0,-1.03,2.43,0.0,418.3,422.99,508.0,390.0,09_10_2025.csv,2025-09-10
SHIVM,27.93,599.0,599.0,576.0,579.08,578.0,1.08,0.0,582.61,205207.0,593.44,119554855.8,823,-14.36,23.0,-2.42,3.99,-0.61,555.67,552.61,709.0,495.0,09_10_2025.csv,2025-09-10
SHL,24.25,561.0,561.0,542.0,544.31,542.5,1.81,0.0,546.6,32918.0,552.15,17993095.9,115,-7.84,19.0,-1.42,3.51,-0.42,544.74,527.74,619.0,455.0,09_10_2025.csv,2025-09-10
SHLB,35.54,1853.0,1853.0,1816.2,1816.3,1816.3,0.0,0.0,1826.81,885.0,1817.28,1616729.0,21,-0.98,36.8,-0.05,2.03,-0.58,2003.66,2195.99,2907.0,1763.1,09_10_2025.csv,2025-09-10
SHPC,32.22,551.9,551.9,533.0,537.84,540.0,-2.16,0.0,539.04,119782.0,541.1,64566726.7,369,-3.26,18.9,-0.6,3.55,-0.22,564.8,542.13,684.9,438.1,09_10_2025.csv,2025-09-10
SICL,30.53,730.1,735.0,721.0,726.7,729.0,-2.3,0.0,725.79,6893.0,735.07,5002836.6,76,-8.37,14.0,-1.14,1.94,0.13,763.84,777.4,925.0,708.7,09_10_2025.csv,2025-09-10
SIFC,33.68,496.0,503.0,494.4,500.99,500.0,0.99,0.0,499.0,7123.0,498.27,3554376.9,70,2.72,8.6,0.55,1.74,0.4,522.99,539.13,728.1,481.0,09_10_2025.csv,2025-09-10
SIGS2,28.79,9.5,9.5,9.25,9.25,9.25,0.0,0.0,9.31,17950.0,9.5,167156.0,7,-0.25,0.25,-2.63,2.7,-0.67,10.16,10.0,11.7,8.62,09_10_2025.csv,2025-09-10
SIGS3,31.29,9.22,9.3,9.22,9.22,9.22,0.0,0.0,9.23,16400.0,9.28,151319.0,14,-0.06,0.08,-0.65,0.87,-0.07,10.21,10.05,11.46,8.28,09_10_2025.csv,2025-09-10
SIKLES,32.16,711.7,738.6,701.0,704.63,703.1,1.53,0.0,709.08,10750.0,724.68,7622622.3,129,-20.05,37.6,-2.77,5.36,-0.63,965.13,1000.5,1475.0,637.0,09_10_2025.csv,2025-09-10
